file,name,aliases,description,category,permission,cooldown_ms,line_start,line_end
tests/framework.test.js,8 ball,,,,public,,182,182
src/framework/plugins/utility-fun.ts,8ball,,Jawab pertanyaan dengan permainan delapan bola,fun,public,,159,173
tests/framework.test.js,8ball,8b,,,public,,178,178
src/framework/plugins/utility.ts,about,,Lihat penjelasan singkat tentang Allybot,tools,public,,335,342
tests/framework.test.js,admin,,,,admin.use,,280,284
tests/permissions.test.js,adminprobe,,,,group.admin,,57,61
tests/permissions.test.js,adminprobe,,,,group.admin,,86,90
src/framework/plugins/group.ts,admins,adminlist,List group administrators with clickable mentions,group,public,,230,243
src/framework/plugins/afk.ts,afk,away,Set status AFK or view your private AFK status,general,public,3000,195,253
src/framework/plugins/collaboration.ts,agenda,,Show collaboration agenda,collaboration,public,,414,436
src/framework/plugins/ai.ts,ai,ally|tanya,Ask Allybot AI without conversation memory,ai,public,,91,117
src/framework/plugins/technical.ts,alljid,,List all WhatsApp group JIDs currently participating,developer,public,10000,177,187
tests/framework.test.js,alpha,,,,public,,300,300
src/framework/plugins/announcement.ts,announce,announcement|pengumuman,Explicit-target consent window announcement,community,public,,74,162
src/framework/plugins/group-safety.ts,appeal,,Appeal your own resolved or dismissed case,moderation,public,,296,318
tests/integration.test.js,bad,,,,public,,87,87
src/framework/plugins/economy.ts,bank,,Kelola rekening Wallet dan Safe Vela,your-character,public,3000,348,355
tests/menu.test.js,bank,,Manage Vela account,your-character,public,,106,111
src/framework/plugins/economy.ts,bankpolicy,economypolicy,Aktifkan atau nonaktifkan Economy untuk grup,owner,public,5000,357,377
src/framework/plugins/economy.ts,bankreward,,Berikan reward Vela kepada anggota,owner,public,5000,379,403
src/framework/plugins/economy.ts,banksweep,,Proses overage Wallet yang telah jatuh tempo,owner,public,5000,405,424
tests/framework.test.js,beta,,,,public,,301,301
src/framework/plugins/knowledge.ts,bookmark,,Bookmark an explicitly quoted message as a bounded source,knowledge,public,,140,169
src/framework/plugins/knowledge.ts,bookmarks,tersimpan,List explicit bookmarks visible in the group,knowledge,public,,171,187
tests/framework.test.js,boom,,,,public,,129,129
src/framework/plugins/technical.ts,botprofile,bprofile,Show the safe public Allybot profile,system,public,3000,152,162
tests/framework.test.js,cache,,,,public,,45,50
src/framework/plugins/utility.ts,calc,,Hitung operasi matematika sederhana,tools,public,,371,386
src/framework/plugins/event.ts,calendar,kalender,Show event calendar,events,public,,213,236
src/framework/plugins/character-guide.ts,cancel,cancelcharacter,Batalkan pendaftaran Character Sheet yang belum selesai,your-character,public,5000,521,540
src/framework/plugins/canon.ts,canon,,Manage bounded community canon,roleplay,public,,98,149
src/framework/plugins/group-safety.ts,case,,Show one group safety case,moderation,public,,218,238
src/framework/plugins/group-safety.ts,cases,,List recent group safety cases,moderation,public,,201,216
src/framework/plugins/character-guide.ts,character,char|yourcharacter,Lihat Character aktif,your-character,public,3000,542,567
src/framework/plugins/character.ts,character,char,Buat dan kelola character roleplay sosial,roleplay,public,,77,149
src/framework/plugins/neon-chat-log.ts,chatlog,,Atur transfer chat grup ke Neon,group,public,,79,139
src/framework/plugins/utility-fun.ts,choose,,Memilih satu opsi secara acak,fun,public,,77,91
src/framework/plugins/group-safety.ts,claimcase,takecase,Claim an open safety case,moderation,public,,240,264
src/framework/plugins/technical.ts,clearcache,cacheclear,Clear ephemeral runtime caches without touching auth or databases,system,public,10000,189,212
src/framework/plugins/group.ts,clearleave,,Clear the custom leave message for the current group,group,public,,491,507
src/framework/plugins/group.ts,clearrules,,Clear the rules for the current group,group,public,,399,417
src/framework/plugins/group-safety.ts,clearwarn,,Revoke a warning by id prefix,moderation,public,,153,176
src/framework/plugins/group.ts,clearwelcome,,Clear the custom welcome message for the current group,group,public,,446,462
src/framework/plugins/codebase.ts,codebase,,Send the latest sanitized Codebase Intelligence Export,developer,public,30000,61,76
src/framework/plugins/collaboration.ts,collab,,Show Collaboration status,collaboration,public,,112,123
src/framework/plugins/utility.ts,commands,cmds,Lihat daftar command yang aktif,tools,public,,302,317
src/framework/plugins/scene.ts,consent,,Grant or withdraw scoped scene consent,roleplay,public,,193,214
tests/framework.test.js,consumer,,,,public,,296,296
src/framework/plugins/group-governance.ts,continuity,cekcatatan,Check bounded governance continuity,governance,public,,180,195
src/framework/plugins/utility.ts,convert,,Konversi satuan dasar,tools,public,,388,404
src/framework/plugins/character-guide.ts,daftar,registercharacter|createcharacter,Mulai pendaftaran Character Sheet di Grup Guide,your-character,public,5000,383,427
src/framework/plugins/utility-fun.ts,dare,tantangan,Dapatkan tantangan ringan yang aman,fun,public,,130,138
tests/framework.test.js,database,,,,public,,40,44
src/framework/plugins/utility.ts,date,,Lihat tanggal hari ini,tools,public,,431,441
src/framework/plugins/collaboration.ts,decision,putuskan,Record an explicit group decision,collaboration,public,,381,399
src/framework/plugins/collaboration.ts,decisions,,List explicit group decisions,collaboration,public,,401,412
src/framework/plugins/character-guide.ts,deletecharacter,deletechar|offcharacter,Nonaktifkan Character aktif dan mulai ulang,your-character,public,5000,569,597
src/framework/plugins/developer-mode.ts,dev,debug,Owner-controlled Developer Mode diagnostics,system,public,1000,96,234
tests/menu.test.js,developer-help,,Developer command,developer,public,,134,134
tests/menu.test.js,developer-help,,Developer command,developer,public,,143,143
src/framework/plugins/diagnostics.ts,diag,,Show a detailed non-sensitive framework diagnostics snapshot,system,public,3000,68,77
tests/menu.test.js,diagnostics,,Show diagnostics,system,public,,253,258
tests/menu.test.js,diagnostics,,Show diagnostics,system,public,,368,373
tests/runtime-acceptance.test.js,echo,e,,general,public,,106,114
src/framework/plugins/character.ts,emote,aksi,Kirim aksi singkat untuk roleplay sosial,roleplay,public,,151,169
src/framework/plugins/event.ts,event,events|acara,Event Conductor multi-phase,events,public,,98,211
src/framework/plugins/utility.ts,features,,Lihat ringkasan fitur yang tersedia,tools,public,,293,300
src/framework/plugins/knowledge.ts,find,cari,Search explicit knowledge visible in the group,knowledge,public,,229,251
src/framework/plugins/utility-fun.ts,flip,,Lempar koin,fun,public,,93,100
src/framework/plugins/knowledge.ts,forget,knowledgeforget,Delete your explicit source record,knowledge,public,,209,227
src/framework/plugins/personalization.ts,format,,Set personal accessibility format,personalization,public,,263,271
tests/runtime-acceptance.test.js,gated,,,,public,,262,265
tests/integration.test.js,good,,,,public,,88,88
src/framework/plugins/technical.ts,groupid,jid,Show the current WhatsApp group JID for allowlist setup,developer,public,0,164,175
tests/framework.test.js,groupid,jid,,,public,,168,168
tests/framework.test.js,groupid,,,,public,,169,169
src/framework/plugins/group.ts,groupinfo,ginfo,Show group metadata and bot status,group,public,,199,215
tests/menu.test.js,groupinfo,,Show group information,group,public,,200,206
