name,schema,default,requiredness,line
NODE_ENV,"z.enum(['development', 'test', 'production']).default('production'),",'production',required-or-defaulted,24
LOG_LEVEL,"z.enum(['silent', 'fatal', 'error', 'warn', 'info', 'debug', 'trace']).default('info'),",'info',required-or-defaulted,25
DATABASE_PATH,"z.string().min(1).default('./data/allyssea.sqlite'),",'./data/allyssea.sqlite',required-or-defaulted,26
AUTH_ACCOUNT_ID,"z.string().min(1).default('primary'),",'primary',required-or-defaulted,27
LOCAL_MESSAGE_CACHE_TTL_MS,"boundedInt(60_000, 7 * 24 * 60 * 60 * 1_000).default(24 * 60 * 60 * 1_000),",24 * 60 * 60 * 1_000,required-or-defaulted,28
LOCAL_MESSAGE_CACHE_MAX_ROWS,"boundedInt(1, 100_000).default(10_000),",10_000,required-or-defaulted,29
LOCAL_MESSAGE_CACHE_MAX_BYTES,"boundedInt(1_024, 256 * 1024 * 1_024).default(64 * 1024 * 1_024),",64 * 1024 * 1_024,required-or-defaulted,30
BOT_OWNER_JID,"z.string().regex(/^\d+(?:@s\.whatsapp\.net)?$/, 'must be a phone-number JID or digits only').optional(),",,optional,31
WHATSAPP_ENABLED,"booleanFromEnv.default(true),",true,required-or-defaulted,32
QR_ENABLED,"booleanFromEnv,",,required-or-defaulted,33
PAIRING_ENABLED,"booleanFromEnv,",,required-or-defaulted,34
PAIRING_PHONE_NUMBER,"z.string().regex(/^\d+$/, 'must contain digits only').optional(),",,optional,35
ENABLE_HISTORY_SYNC,"booleanFromEnv,",,required-or-defaulted,36
MAX_RECONNECT_DELAY_MS,"positiveInt.default(300000),",300000,required-or-defaulted,37
SHUTDOWN_TIMEOUT_MS,"positiveInt.default(15000),",15000,required-or-defaulted,38
COMMAND_PREFIX,"z.string().min(1).max(4).default('!'),",'!',required-or-defaulted,39
DEFAULT_COMMAND_COOLDOWN_MS,"positiveInt.default(3000),",3000,required-or-defaulted,40
DIAGNOSTICS_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,41
XKIRO_AI_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,42
XKIRO_AI_FALLBACK_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,43
ECONOMY_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,44
CHARACTER_GUIDE_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,45
GROUP_CONTEXT_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,46
CHARACTER_GUIDE_SESSION_TTL_SECONDS,"boundedInt(300, 86_400).default(1_800),",1_800,required-or-defaulted,47
GROUP_CONTEXT_OOC_COOLDOWN_MS,"boundedInt(1_000, 3_600_000).default(30_000),",30_000,required-or-defaulted,48
GROUP_CONTEXT_OOC_WINDOW_MS,"boundedInt(60_000, 3_600_000).default(600_000),",600_000,required-or-defaulted,49
GROUP_CONTEXT_OOC_MAX_PER_WINDOW,"boundedInt(1, 20).default(3),",3,required-or-defaulted,50
MONGODB_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,51
MONGODB_URI,"z.string().min(1).optional(),",,optional,52
MONGODB_DB_NAME,"z.string().min(1).default('allybot'),",'allybot',required-or-defaulted,53
MONGODB_TIMEOUT_MS,"boundedInt(1_000, 30_000).default(5_000),",5_000,required-or-defaulted,54
REDIS_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,55
REDIS_URL,"z.string().min(1).optional(),",,optional,56
REDIS_TIMEOUT_MS,"boundedInt(1_000, 10_000).default(5_000),",5_000,required-or-defaulted,57
REDIS_OPERATION_TIMEOUT_MS,"boundedInt(100, 2_000).default(1_000),",1_000,required-or-defaulted,58
REDIS_MAX_ATTEMPTS,"boundedInt(1, 3).default(2),",2,required-or-defaulted,59
REDIS_RETRY_DELAY_MS,"boundedInt(50, 2_000).default(100),",100,required-or-defaulted,60
REDIS_KEY_PREFIX,"z.string().regex(/^[a-z0-9][a-z0-9:_-]{0,39}$/i).default('allybot:v1'),",'allybot:v1',required-or-defaulted,61
CODEBASE_EXPORT_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,62
CODEBASE_EXPORT_PATH,"z.string().min(1).default('./Codebase/allybot-codebase-latest.zip'),",'./Codebase/allybot-codebase-latest.zip',required-or-defaulted,63
CODEBASE_EXPORT_MAX_BYTES,"boundedInt(1, 4 * 1024 * 1024).default(3 * 1024 * 1024),",3 * 1024 * 1024,required-or-defaulted,64
SENTRY_ENABLED,"booleanFromEnv.default(false),",false,required-or-defaulted,65
SENTRY_DSN,"z.string().url().optional(),",,optional,66
SENTRY_ENVIRONMENT,"z.string().regex(/^[a-zA-Z0-9._-]{1,32}$/).default('production'),",'production',required-or-defaulted,67
SENTRY_RELEASE,"z.string().regex(/^[a-zA-Z0-9._-]{1,128}$/).optional(),",,optional,68
SENTRY_TRACES_SAMPLE_RATE,"z.string().regex(/^(?:0(?:\.\d+)?|1(?:\.0+)?)$/).default('0').transform(Number),",'0',required-or-defaulted,69
