from,to,relation,evidence,confidence
src/index.ts,src/config.ts,loads configuration,loadConfig(process.env),high
src/index.ts,src/storage.ts,creates operational storage,"new SqliteStorage(config, logger)",high
src/index.ts,src/whatsapp.ts,creates WhatsApp adapter,"new WhatsAppConnection(config, storage, logger, redis)",high
src/index.ts,src/framework/application.ts,creates application framework,new ApplicationFramework(...),high
src/framework/application.ts,src/framework/plugin-manager.ts,delegates plugin lifecycle,this.plugins.loadAndInitialize/ready/unload,high
src/whatsapp.ts,src/storage.ts,persists credentials and bounded message cache,storage.loadCreds/saveCreds/saveMessages/getMessage,high
src/whatsapp.ts,src/upstash-redis.ts,uses optional cache,redis.cacheGet/cacheSet when enabled,high
src/framework/application.ts,src/whatsapp.ts,starts and closes transport,whatsapp.start/close,high
src/framework/application.ts,src/framework/command-registry.ts,module import,static import graph,high
src/framework/application.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/application.ts,src/framework/event-bus.ts,module import,static import graph,high
src/framework/application.ts,src/framework/middleware.ts,module import,static import graph,high
src/framework/application.ts,src/framework/plugin-manager.ts,module import,static import graph,high
src/framework/application.ts,src/framework/service-registry.ts,module import,static import graph,high
src/framework/command-copy.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/command-registry.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/command-registry.ts,src/framework/middleware.ts,module import,static import graph,high
src/framework/event-bus.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/middleware.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/middleware.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugin-manager.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/afk.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/afk.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/afk.ts,src/services/afk-service.ts,module import,static import graph,high
src/framework/plugins/afk.ts,src/services/group-configuration-service.ts,module import,static import graph,high
src/framework/plugins/ai.ts,src/ai-handler.ts,module import,static import graph,high
src/framework/plugins/ai.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/announcement.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/announcement.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/announcement.ts,src/services/announcement-service.ts,module import,static import graph,high
src/framework/plugins/canon.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/canon.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/canon.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/canon.ts,src/services/canon-service.ts,module import,static import graph,high
src/framework/plugins/character.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/character.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/character.ts,src/services/character-service.ts,module import,static import graph,high
src/framework/plugins/codebase.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/codebase.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/collaboration.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/collaboration.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/collaboration.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/collaboration.ts,src/services/collaboration-service.ts,module import,static import graph,high
src/framework/plugins/developer-mode.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/developer-mode.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/developer-mode.ts,src/services/developer-mode-service.ts,module import,static import graph,high
src/framework/plugins/diagnostics.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/diagnostics.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/event.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/event.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/event.ts,src/services/event-service.ts,module import,static import graph,high
src/framework/plugins/group-governance.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/group-governance.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/group-governance.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/group-governance.ts,src/services/group-governance-service.ts,module import,static import graph,high
src/framework/plugins/group-moderation.ts,src/framework/contracts.ts,module import,static import graph,high
src/framework/plugins/group-moderation.ts,src/permissions.ts,module import,static import graph,high
src/framework/plugins/group-moderation.ts,src/platform/validation.ts,module import,static import graph,high
src/framework/plugins/group-moderation.ts,src/services/group-moderation-service.ts,module import,static import graph,high
