source_file,target_file,imported_symbols,line_start,line_end
scripts/create-release-manifest.mjs,external:node:crypto,createHash,1,1
scripts/create-release-manifest.mjs,external:node:fs,readFileSync|readdirSync|statSync|writeFileSync,2,2
scripts/create-release-manifest.mjs,external:node:path,basename|relative|resolve|sep,3,3
scripts/generate-codebase-export.mjs,external:node:child_process,execFileSync,2,2
scripts/generate-codebase-export.mjs,external:node:crypto,createHash,1,1
scripts/generate-codebase-export.mjs,external:node:fs,existsSync|mkdirSync|readdirSync|readFileSync|rmSync|statSync|writeFileSync,3,11
scripts/generate-codebase-export.mjs,external:node:path,dirname|extname|relative|resolve|sep,12,12
scripts/generate-codebase-export.mjs,external:typescript,default:ts,13,13
scripts/monitor-postgres.mjs,external:dotenv/config,side-effect,1,1
scripts/monitor-postgres.mjs,unresolved:../dist/postgres-monitor.js,PostgresReadOnlyMonitor,3,3
scripts/monitor-postgres.mjs,unresolved:../dist/postgres-verifier.js,createPostgresVerifier|readPostgresVerificationConfig|redactPostgresError,2,2
scripts/verify-neon-chat-log-migration.mjs,external:node:fs/promises,readFile,1,1
scripts/verify-neon.mjs,external:dotenv/config,side-effect,1,1
scripts/verify-neon.mjs,unresolved:../dist/neon-client.js,createNeonClient|readNeonClientConfig|redactNeonError,2,2
scripts/verify-platform.mjs,external:node:child_process,execFileSync,4,4
scripts/verify-platform.mjs,external:node:fs,existsSync|readdirSync,1,1
scripts/verify-platform.mjs,external:node:path,join|relative,2,2
scripts/verify-platform.mjs,external:node:url,fileURLToPath,3,3
scripts/verify-postgres.mjs,external:dotenv/config,side-effect,1,1
scripts/verify-postgres.mjs,unresolved:../dist/postgres-verifier.js,createPostgresVerifier|readPostgresVerificationConfig|redactPostgresError,2,2
scripts/verify-supabase-access.mjs,external:dotenv/config,side-effect,1,1
scripts/verify-supabase-access.mjs,unresolved:../dist/postgres-verifier.js,createPostgresVerifier|readPostgresVerificationConfig|redactPostgresError,2,6
scripts/verify-supabase-access.mjs,unresolved:../dist/supabase-read-write.js,createSupabaseReadWriteClient|readSupabaseReadWriteConfig,7,10
scripts/verify-supabase-character-migration.mjs,external:node:fs,existsSync|readFileSync,1,1
